GQ id,fifth_col,number_room,rank,year
217827.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon business shopping urban family luxury romantic gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Aparthotel americanExpress dinersClub jcbInternational mastercard visa,650.0,5.0,1994.0
83474.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Ground sports facilities business urban luxury romantic golf sport otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,388.0,5.0,1998.0
35764.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Indoor games Medical service Sunbathing Golf business shopping urban family luxury romantic spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Apartment Aparthotel americanExpress dinersClub jcbInternational mastercard visa creditCards maestro visaElectron,765.0,5.0,2002.0
499929.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Wake-up service Check-in/out business spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress jcbInternational mastercard visa,432.0,4.0,2016.0
362161.0,Designated smoking area Guest item storage Dining Conference/Business Laundry Bar Connectivity/Devices On-site shopping Front desk services Onsite parking Internet (Public areas) Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Ticketing/Tours Cash services Onsite car/limo rental Check-in/out Offsite parking business otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress mastercard visa,319.0,4.0,2014.0
60868.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Indoor games Medical service business urban luxury spaWellness otherPolicy checkInOutPolicy petPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa,420.0,5.0,2004.0
374209.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Leisure/Entertainment Check-in/out Salon Ground sports facilities Golf business shopping family luxury spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa carteBlanche,380.0,5.0,2012.0
168269.0,Designated smoking area Guest item storage Dining Air-conditioning in public areas Laundry Bar Live entertainment On-site shopping Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Ticketing/Tours Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Medical service business shopping urban budget otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa,138.0,3.0,2009.0
77352.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Ground sports facilities Medical service business shopping family luxury spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa,438.0,5.0,2007.0
73416.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Check-in/out Offsite parking Salon Sunbathing Bicycles business family luxury spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,478.0,5.0,1981.0
