,GQ id,name,EAN id,Kmeans with 6cluster ,Kmeans with 5 cluster ,BinaryClustring 5 ,BinaryClustring 6 ,Hierarchical Clustering 5,Hierarchical Clustering 6 ,Hybrid Clustring 5 
689,395267,Mayview Glory Hotel,395267,6,5,2,5,2,2,4
690,394769,Time Hotel Kuchai Lama,394769,6,5,2,5,2,2,4
691,394669,Ufo Capsule Hotel,394669,6,5,2,5,2,2,4
692,394604,1st Inn Hotel Shah Alam (SA20),394604,6,5,2,5,2,2,4
693,394601,1st Inn Hotel Glenmarie,394601,6,5,2,5,2,2,4
694,394434,Perfect Class,394434,6,5,2,5,2,2,4
695,394079,OYO 615 Dragon Inn Premium Hotel,394079,6,5,2,5,2,2,4
696,393938,Hotel Putra Kuala Lumpur,393938,3,5,2,3,4,4,5
697,393867,City Park Hotel Kuala Lumpur,393867,3,3,3,3,4,4,5
698,380270,WP Hotel Kuala Lumpur,380270,3,3,3,3,4,4,3
699,379621,Sun Inns D'mind 3 Seri Kembangan,379621,6,5,2,5,2,2,4
700,379560,Hotel Pudu Bintang Kuala Lumpur,379560,6,5,2,5,2,2,4
701,378621,Damai 11 Residence @ KLCC,378621,6,5,2,5,2,2,4
702,378620,Daffodils Park Kl Hotel,378620,6,5,2,5,2,2,4
703,378617,Comfort Lodge,378617,6,5,2,5,2,2,4
704,378616,Comfort Inn,378616,6,5,2,5,2,2,4
705,378615,Columbia Hotel,378615,3,3,3,3,4,4,5
706,378614,Classic Inn,378614,6,5,2,5,2,2,4
707,378613,OYO 193 City Kuchai Hotel,378613,6,5,2,5,2,2,4
708,378612,OYO 419 City Boutique Hotel,378612,6,5,2,5,2,2,4
709,378611,Casavilla Hotel,378611,3,5,2,3,4,4,4
710,378610,Casavilla Travellers Lodge  Petaling Jaya,378610,6,5,2,5,2,2,4
711,378609,Casa villa Selayang,378609,6,5,2,5,2,2,4
712,378608,Casavilla Hotel  Rawang,378608,6,5,2,5,2,2,4
713,378607,Budget Hotel EST Com Kuala Lumpur,378607,6,5,2,5,2,2,4
714,378606,Best View Hotel Sunway Mentari,378606,6,5,2,5,2,2,4
715,378605,Best View Hotel Subang Jaya,378605,6,5,2,5,2,2,4
716,378604,Best View Hotel SS2,378604,6,5,2,5,2,2,4
717,378603,Best View Hotel Sri Petaling,378603,6,5,2,5,2,2,4
718,378602,Best View Hotel Sri Hartamas,378602,6,5,2,5,2,2,4
719,378601,Best View Hotel Shah Alam,378601,6,5,2,5,2,2,4
720,378600,Best View Hotel Puchong,378600,6,5,2,5,2,2,4
721,378599,Best View Hotel Kota Damansara,378599,6,5,2,5,2,2,4
722,378598,Best View Hotel Bangi,378598,6,5,2,5,2,2,4
723,378597,Best View Hotel Bandar Sunway,378597,6,5,2,5,2,2,4
724,378596,Beltif Hotel,378596,6,5,2,5,2,2,3
725,378595,Aura Hotel Bukit Bintang,378595,6,5,2,5,2,2,4
726,378592,Alami Garden Hotel,378592,6,5,2,5,2,2,4
727,378591,Hotel 12Fly,378591,6,5,2,5,2,2,3
728,378590,101 Lake View Hotel Puchong,378590,6,5,2,5,2,2,4
729,378534,Winsin Hotel Chinatown,378534,6,5,2,5,2,2,4
730,378528,The Verve Hotel PJ Damansara,378528,6,5,2,5,2,2,4
731,378526,The Tree Boutique Hotel,378526,6,5,2,5,2,2,4
732,378525,The Green Hotel Taman Maluri,378525,6,5,2,5,2,2,4
733,378524,The Green Hotel Ampang Waterfront,378524,6,5,2,5,2,2,4
734,378523,Swiss Cottage Hotel,378523,6,5,2,5,2,2,4
735,378522,Swan Cottage Hotel,378522,6,5,2,5,2,2,4
736,378521,Sunbow Hotel Residency,378521,6,5,2,5,2,2,4
737,378520,Sun Inns Hotel Kepong,378520,6,5,2,5,2,2,4
738,378519,"Sun Inns Hotel Equine,Seri Kembangan",378519,6,5,2,5,2,2,4
739,378518,Sun Inns Hotel Cheras,378518,6,5,2,5,2,2,4
740,378517,Sun Inns Hotel Bandar Puchong Utama,378517,6,5,2,5,2,2,4
741,378516,Submarine Guest House,378516,6,5,2,5,2,2,4
742,378515,Step Inn Guest House,378515,6,5,2,5,2,2,4
743,378514,Starcastle Golden Palace Hotel,378514,6,5,2,5,2,2,3
744,378513,Sri Enstek Hotel,378513,6,5,2,5,2,2,3
745,378512,Smile Boutique Hotel,378512,6,5,2,5,2,2,4
746,378510,Smart Hotel Shah Alam Seksyen 15,378510,6,5,2,5,2,2,4
747,378509,Smart Hotel Reko Sentral Kajang,378509,6,5,2,5,2,2,4
748,378507,Smart Hotel Bangi Seksyen 9,378507,6,5,2,5,2,2,4
749,378505,Signature Hotel KL Sentral,378505,6,5,2,5,2,2,3
750,378504,Shaftsbury Serviced Residences,378504,3,3,3,3,4,4,3
751,378502,Sahara Hotel Selayang,378502,6,5,2,5,2,2,4
752,378501,Safari Hotel,378501,6,5,2,5,2,2,3
753,378500,Sabrina Golden Palace Hotel,378500,6,5,2,5,2,2,3
754,378499,Ryokan @ Damansara Uptown,378499,6,5,2,5,2,2,3
755,378497,Richbaliz,378497,6,5,2,5,2,2,3
756,378496,RHR Hotel at Uniten,378496,3,3,3,3,4,4,3
757,378495,Putra One Avenue Hotel,378495,6,5,2,5,2,2,4
758,378494,Puteri Ampang Hotel,378494,6,5,2,5,2,2,4
759,378493,Puri Pujangga Hotel,378493,6,5,2,5,2,2,3
760,378491,Petaling Street Hotel Chinatown,378491,6,5,2,5,2,2,4
761,378490,Pegasus Inn Shah Alam,378490,6,5,2,5,2,2,4
762,378487,One Avenue Hotel Balakong,378487,6,5,2,5,2,2,4
763,378486,One Avenue,378486,3,5,2,3,4,4,4
764,378483,Number Eight Guest House,378483,6,5,2,5,2,2,4
765,378481,New Wave Sri Hartamas,378481,6,5,2,5,2,2,4
766,378480,New Wave Sgbuloh,378480,6,5,2,5,2,2,4
767,378479,New Wave Rawang Hotel,378479,6,5,2,5,2,2,4
768,378477,New Wave Hotel Sdn Bhd Melawati H2,378477,6,5,2,5,2,2,4
769,378476,New Town Hotel Sunway Mentari,378476,6,5,2,5,2,2,4
770,378472,Nana's Inn Bukit Bintang,378472,6,5,2,5,2,2,4
771,378469,My Hotel @  Kl Sentral,378469,3,5,2,3,4,4,3
772,378467,OYO 843 My Home Hotel Taman Connaught,378467,6,5,2,5,2,2,4
773,378466,My Home Hotel Setapak,378466,6,5,2,5,2,2,4
